datetime,low,high,open,close,volumefrom,volumeto
2022-04-10 01:00:00,111.33,112.66,111.68,112.61,38949.48,4369684.08
2022-04-10 02:00:00,112.31,113.3,112.61,113.17,32112.89,3621320.13
2022-04-10 03:00:00,112.94,113.97,113.17,113.4,49353.19,5604735.27
2022-04-10 04:00:00,112.4,113.63,113.4,113.2,63704.63,7201044.69
2022-04-10 05:00:00,111.73,113.55,113.2,111.73,55073.95,6208235.27
2022-04-10 06:00:00,111.59,112.67,111.73,112.2,37342.43,4187056.05
2022-04-10 07:00:00,111.4,112.44,112.2,111.59,35080.34,3923515.94
2022-04-10 08:00:00,110.97,112.21,111.59,111.93,50416.84,5632926.11
2022-04-10 09:00:00,110.06,112.06,111.93,110.31,84499.29,9352942.89
2022-04-10 10:00:00,109.71,110.5,110.31,110.33,58295.4,6419427.69
2022-04-10 11:00:00,110.28,111.2,110.33,111.05,31884.51,3530477.11
2022-04-10 12:00:00,110.58,111.74,111.05,111.14,62228.96,6924394.07
2022-04-10 13:00:00,110.49,111.43,111.14,110.82,40005.94,4438449.55
2022-04-10 14:00:00,110.63,112.23,110.82,111.91,55128.29,6154332.16
2022-04-10 15:00:00,111.76,112.6,111.91,112.38,50251.52,5640218.61
2022-04-10 16:00:00,111.89,112.83,112.38,112.81,39212.29,4405472.76
2022-04-10 17:00:00,112.81,114.91,112.81,114.72,132957.94,15155306.4
2022-04-10 18:00:00,114.63,116.09,114.72,114.67,104973.67,12108123.27
2022-04-10 19:00:00,114.24,115.05,114.67,114.54,45200.4,5181496.87
2022-04-10 20:00:00,114.46,115.34,114.54,114.56,54715.02,6288586.94
2022-04-10 21:00:00,112.71,114.91,114.56,112.74,58595.77,6673628.16
2022-04-10 22:00:00,110.52,113.81,112.74,111.45,196566.14,21989757.87
2022-04-10 23:00:00,110.57,112.75,111.45,111.07,102837.33,11498670.06
2022-04-11 00:00:00,109.12,111.54,111.07,111.02,137299.83,15157635.82
2022-04-11 01:00:00,110.69,111.94,111.02,110.87,59326.46,6609070.75
2022-04-11 02:00:00,108.33,111.29,110.87,109.01,121493.61,13347674.86
2022-04-11 03:00:00,108.46,109.99,109.01,109.96,78698.99,8587816.8
2022-04-11 04:00:00,109.53,111.19,109.96,110.99,76105.25,8391343.7
2022-04-11 05:00:00,110.43,111.34,110.99,110.7,50722.51,5627540.32
2022-04-11 06:00:00,109.66,110.75,110.7,110.34,50171.89,5528832.64
2022-04-11 07:00:00,109.85,111.33,110.34,111.1,48770.64,5394535.83
2022-04-11 08:00:00,109.29,111.86,111.1,109.75,90967.32,10034593.36
2022-04-11 09:00:00,104.72,109.79,109.75,104.75,287878.97,30767745.44
2022-04-11 10:00:00,104.5,106.19,104.75,105.73,235302.29,24777268.63
2022-04-11 11:00:00,103.36,105.85,105.73,103.93,222846.37,23276360.43
2022-04-11 12:00:00,102.93,104.79,103.93,103.61,223933.91,23243851.79
2022-04-11 13:00:00,101.47,103.81,103.61,103.08,217747.67,22343076.06
2022-04-11 14:00:00,101.21,103.75,103.08,101.92,149458.48,15285401.76
2022-04-11 15:00:00,101.43,102.93,101.92,101.44,93123.61,9518696.22
2022-04-11 16:00:00,101.26,102.91,101.44,102.76,174807.07,17848854.54
2022-04-11 17:00:00,102.11,103.86,102.76,102.83,159617.65,16420711.11
2022-04-11 18:00:00,101.9,103.16,102.83,103.1,106761.3,10949965.75
2022-04-11 19:00:00,100.42,103.35,103.1,101.37,178804.51,18158501.3
2022-04-11 20:00:00,100.29,102.62,101.37,101.12,145619.21,14775373.03
2022-04-11 21:00:00,98.1,101.76,101.12,98.51,200798.43,20008615.48
2022-04-11 22:00:00,98.21,101.3,98.51,99.94,148948.44,14904239.59
2022-04-11 23:00:00,99.05,100.54,99.94,99.67,72928.72,7280749.3
2022-04-12 00:00:00,99.15,101.1,99.67,99.91,147613.69,14801286.08
2022-04-12 01:00:00,99.57,100.88,99.91,99.96,86243.84,8646215.79
2022-04-12 02:00:00,98.31,100.58,99.96,99.27,144812.49,14396726.97
2022-04-12 03:00:00,98.7,99.72,99.27,99.72,87074.09,8638492.2
2022-04-12 04:00:00,99.26,101.66,99.72,101.53,89571.51,9011915.06
2022-04-12 05:00:00,100.95,102.99,101.53,102.8,131483.01,13412444.04
2022-04-12 06:00:00,101.69,103.3,102.8,102.15,98010.32,10048043.08
2022-04-12 07:00:00,101.73,103.06,102.15,103.05,85943.21,8804263.99
2022-04-12 08:00:00,102.75,103.61,103.05,102.93,90038.5,9291679.83
2022-04-12 09:00:00,102.23,103.4,102.93,103.17,78295.96,8047330.84
2022-04-12 10:00:00,102.36,103.37,103.17,102.96,78894.12,8123220.6
2022-04-12 11:00:00,102.88,105.7,102.96,105.55,201865.22,21113626.43
2022-04-12 12:00:00,104.81,108.28,105.55,107.84,397775.25,42490847.54
2022-04-12 13:00:00,107.35,109.36,107.84,108.0,366511.21,39660196.42
2022-04-12 14:00:00,105.01,108.09,108.0,105.68,257629.84,27366760.72
2022-04-12 15:00:00,105.53,107.33,105.68,106.0,128434.25,13674127.42
2022-04-12 16:00:00,105.28,107.04,106.0,105.5,85044.08,9015226.75
2022-04-12 17:00:00,103.34,105.8,105.5,103.56,144066.99,15083668.07
2022-04-12 18:00:00,101.31,104.2,103.56,101.4,214701.04,22040927.78
2022-04-12 19:00:00,100.32,102.59,101.4,101.0,174381.79,17654986.56
2022-04-12 20:00:00,100.78,102.53,101.0,101.93,138226.53,14063547.05
2022-04-12 21:00:00,101.82,103.2,101.93,103.01,70394.51,7223480.22
2022-04-12 22:00:00,101.25,103.01,103.01,102.02,92716.61,9458005.45
2022-04-12 23:00:00,101.9,103.65,102.02,103.22,137906.13,14192917.53
2022-04-13 00:00:00,102.86,104.2,103.22,103.01,71894.23,7445775.46
2022-04-13 01:00:00,101.87,103.32,103.01,103.29,99138.11,10145610.54
2022-04-13 02:00:00,102.01,103.66,103.29,103.33,58641.61,6043052.14
2022-04-13 03:00:00,103.13,105.11,103.33,103.68,73163.89,7628670.65
2022-04-13 04:00:00,102.93,104.18,103.68,104.09,82802.74,8565228.52
2022-04-13 05:00:00,103.69,104.71,104.09,104.62,52498.74,5465670.0
2022-04-13 06:00:00,103.4,104.84,104.62,103.64,44580.28,4640476.3
2022-04-13 07:00:00,103.14,104.28,103.64,103.94,56529.06,5869079.64
2022-04-13 08:00:00,103.61,104.29,103.94,104.11,50962.23,5298650.9
2022-04-13 09:00:00,102.58,104.28,104.11,103.01,59555.05,6157993.65
2022-04-13 10:00:00,101.61,103.17,103.01,102.23,89354.9,9129992.24
2022-04-13 11:00:00,101.0,102.78,102.23,101.05,94234.01,9620745.86
2022-04-13 12:00:00,100.44,101.74,101.05,100.54,116819.57,11822123.74
2022-04-13 13:00:00,100.09,104.37,100.54,103.98,204636.22,20953325.4
2022-04-13 14:00:00,102.51,104.92,103.98,103.44,211099.52,21906091.23
2022-04-13 15:00:00,103.44,106.04,103.44,105.15,181643.69,19086524.05
2022-04-13 16:00:00,104.3,105.99,105.15,104.58,119428.09,12544951.07
2022-04-13 17:00:00,103.64,104.81,104.58,104.07,94579.45,9857516.65
2022-04-13 18:00:00,103.74,105.77,104.07,105.72,92535.28,9715416.71
2022-04-13 19:00:00,103.87,105.78,105.72,103.95,81533.15,8529972.9
2022-04-13 20:00:00,103.66,105.32,103.95,104.98,87141.0,9113340.9
2022-04-13 21:00:00,104.03,105.16,104.98,104.54,35179.14,3680723.1
2022-04-13 22:00:00,104.02,105.39,104.54,105.3,75569.79,7919148.62
2022-04-13 23:00:00,104.5,105.47,105.3,104.94,70786.65,7422556.53
2022-04-14 00:00:00,104.53,105.53,104.94,105.06,63956.97,6720239.42
2022-04-14 01:00:00,104.93,107.34,105.06,107.13,138058.78,14676678.85
2022-04-14 02:00:00,106.11,107.18,107.13,106.31,77401.05,8252615.84
2022-04-14 03:00:00,105.45,106.55,106.31,105.62,73183.13,7740552.6
2022-04-14 04:00:00,105.62,107.72,105.62,106.71,115475.62,12323269.9
2022-04-14 05:00:00,106.28,107.27,106.71,106.63,55733.17,5951210.22
2022-04-14 06:00:00,105.97,106.72,106.63,106.27,80338.09,8537333.02
2022-04-14 07:00:00,105.56,107.12,106.27,106.41,87892.69,9344109.24
2022-04-14 08:00:00,106.05,107.28,106.41,106.12,85621.04,9130140.94
2022-04-14 09:00:00,104.8,106.38,106.12,105.71,124469.5,13148657.06
